STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BRA,Brazil,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.41931516884604,,,,PA,Percent per annum,0,Units,,,2000,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BRA,Brazil,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,2.28574648598021,,,,PA,Percent per annum,0,Units,,,2000,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BRA,Brazil,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,1.55498296843183,,,,PA,Percent per annum,0,Units,,,2000,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BRA,Brazil,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,2.06158849243855,,,,PA,Percent per annum,0,Units,,,2000,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ARG,Argentina,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,-1.85578803039995,,,,PA,Percent per annum,0,Units,,,2004,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ARG,Argentina,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,-1.34293072501362,,,,PA,Percent per annum,0,Units,,,2004,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ARG,Argentina,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,4.36733331629193,,,,PA,Percent per annum,0,Units,,,2004,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ARG,Argentina,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.757614344191,,,,PA,Percent per annum,0,Units,,,2004,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ARG,Argentina,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,3.46335249856169,,,,PA,Percent per annum,0,Units,,,2004,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,WXOECD,Non-OECD economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,4.7464338931953,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,WXOECD,Non-OECD economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,4.49904641969668,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,WXOECD,Non-OECD economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,4.43117663851899,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,WXOECD,Non-OECD economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,3.88855445892507,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,WXOECD,Non-OECD economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,4.02984205553012,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,RUS,Russia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,4.06661384334937,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,RUS,Russia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,4.92167967804924,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,RUS,Russia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,1.00117654621913,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,RUS,Russia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,0.544408251729308,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,RUS,Russia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,0.849396253270527,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,DAE,Dynamic Asian economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,2.98035641930269,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,DAE,Dynamic Asian economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,5.26015951001568,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,DAE,Dynamic Asian economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,6.20252181114959,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,DAE,Dynamic Asian economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,4.73694961794394,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,DAE,Dynamic Asian economies,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,3.6529495716555,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OIL_SAU_O,Other oil producers,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,2.56920008565621,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OIL_SAU_O,Other oil producers,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,2.6603425439431,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OIL_SAU_O,Other oil producers,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,3.00063434818406,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OIL_SAU_O,Other oil producers,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.91254881570676,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,OIL_SAU_O,Other oil producers,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,2.98027587245437,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W_O,Other countries,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,3.49284208267092,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W_O,Other countries,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.43698730941468,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W_O,Other countries,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,2.76830529598865,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W_O,Other countries,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.50677466486881,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W_O,Other countries,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,2.71723444142688,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W,World,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,3.42892948732724,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W,World,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.2909938398024,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W,World,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,3.24626053928459,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W,World,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.9300166955268,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,W,World,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,3.09207078343456,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,HRV,Croatia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,3.76164530955685,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,HRV,Croatia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.82688708976661,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,HRV,Croatia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,3.40260944230161,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,HRV,Croatia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.64977656913209,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,HRV,Croatia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,2.35721202215004,,,,PA,Percent per annum,0,Units,,,2021,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ZAF,South Africa,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,0.806104552267882,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ZAF,South Africa,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,0.534843531352749,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ZAF,South Africa,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,1.11462608091124,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ZAF,South Africa,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,1.15227216473302,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ZAF,South Africa,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,1.56148334974985,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BGR,Bulgaria,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,3.09636502155377,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BGR,Bulgaria,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.54178943889049,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,BGR,Bulgaria,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,2.28192819360778,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,CHN,China (People’s Republic of),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,5.41600335000024,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,CHN,China (People’s Republic of),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,5.0000000000005,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,CHN,China (People’s Republic of),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,4.99999999999974,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,CHN,China (People’s Republic of),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,4.5418385921769,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,CHN,China (People’s Republic of),GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,4.25411250874492,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,IDN,Indonesia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,5.04883117855516,,,,PA,Percent per annum,0,Units,,,2010,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,IDN,Indonesia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,5.03257477088519,,,,PA,Percent per annum,0,Units,,,2010,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,IDN,Indonesia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,5.10808904438025,,,,PA,Percent per annum,0,Units,,,2010,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,IDN,Indonesia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,4.72157332529353,,,,PA,Percent per annum,0,Units,,,2010,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,IDN,Indonesia,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,4.98018209365037,,,,PA,Percent per annum,0,Units,,,2010,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,PER,Peru,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,-0.33857166578025,,,,PA,Percent per annum,0,Units,,,2007,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,PER,Peru,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,3.48572227105406,,,,PA,Percent per annum,0,Units,,,2007,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,PER,Peru,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,3.44396922446529,,,,PA,Percent per annum,0,Units,,,2007,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,PER,Peru,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.8962305313101,,,,PA,Percent per annum,0,Units,,,2007,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,PER,Peru,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2027,,2.89879108224338,,,,PA,Percent per annum,0,Units,,,2007,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ROU,Romania,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,2.25773867327064,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.5),Economic Outlook 119,I,ROU,Romania,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,0.916002231424258,,,,PA,Percent per annum,0,Units,,,2020,,,,2,Two,,,,
